start	end	M2:HeadMovement	M2:janej	M2:yes	M2:no	M2:word01	M2:Face	M2:pitch	M4:pitch	M2:intensity	M4:intensity	M2:x-pos	M2:y-pos	M2:weight	M2:velocity-r	M2:velocity-clock	M2:velocity-x	M2:velocity-y	M2:acceleration-r	M2:acceleration-clock	M2:acceleration-x	M2:acceleration-y	M2:jerk-r	M2:jerk-clock	M2:jerk-x	M2:jerk-y
10480	10484			0	0	0		141.5737785768842	141.40699958925526	57.806393879947294	70.19132053954591	180.003000	64.665900	0.879302	1.121203	3	1.117967	0.085123	0.298628	2	0.281452	-0.099818	0.003773	2	0.003161	-0.002060
10484	10488			0	0	0		136.05971509502777	135.48138208055838	57.4249115263786	69.03526789957367	180.970000	64.664800	0.884115	1.695718	3	1.684283	-0.196597	0.280004	2	0.260263	-0.103274	0.018193	9	-0.017821	0.003663
10488	10492			0	0	0		139.97504863638287	140.99043088596605	58.14312864947719	69.81798544570688	182.995000	63.684100	0.836204	2.137594	3	2.103717	-0.379058	0.184225	2	0.170782	-0.069081	0.038646	8	-0.037068	0.010931
10492	10496			0	0	0		168.2109676039006	168.55300730271662	60.45241593273475	73.3870272691471	187.981000	64.680200	0.864801	2.378814	3	2.336267	-0.447900	0.054349	2	0.046203	-0.028621	0.046970	8	-0.044504	0.015019
10496	10500			0	0	0		191.36725071169957	193.1520550969681	63.64528168749882	74.29682844103726	190.000000	63.667800	0.849331	2.347171	3	2.300533	-0.465573	0.093233	9	-0.091534	0.017717	0.044056	8	-0.041989	0.013336
10500	10504			0	0	0		207.69767274186776	207.5828229802833	60.20174207094122	70.78073873900057	193.029000	61.693700	0.850361	2.035019	3	2.001467	-0.368012	0.211863	9	-0.205258	0.052490	0.029082	8	-0.027233	0.010205
10504	10508			0	0	0		200.52286295955759	200.2150723141873	61.091165021595316	72.24241337353824	195.014000	61.697400	0.874415	1.535791	3	1.517383	-0.237068	0.268329	8	-0.258650	0.071417	0.007055	8	-0.005682	0.004181
10508	10512			0	0	0		186.2081906353758	184.67705090631645	62.80792022765323	70.62450020027688	195.984000	61.666500	0.901287	0.965348	3	0.952983	-0.154013	0.253653	8	-0.243921	0.069588	0.014178	2	0.013029	-0.005591
10512	10516			0	0	0		169.57920064859	165.1252790429148	63.22785664549301	72.44071150719668	195.979000	61.671000	0.901407	0.587594	3	0.586883	0.028898	0.179124	8	-0.170432	0.055121	0.024335	2	0.022194	-0.009980
10516	10520			0	0	0		161.42208522453578	151.46650931765186	59.10588132268052	70.7865830956196	195.999000	62.653900	0.890783	0.272485	4	0.254883	0.096345	0.123654	9	-0.123528	0.005585	0.023473	2	0.018034	-0.015025
10520	10524			0	0	0		161.42208522453578	161.57093112275476	62.29748692328657	74.82598131324055	196.014000	62.653000	0.900723	0.081474	4	0.074617	0.032717	0.069877	10	-0.058417	-0.038343	0.019206	2	0.017234	-0.008477
10524	10528			0	0	0		185.52909460150403	187.44637713005292	64.22233381211433	73.23333276430955	196.039000	62.657600	0.903924	0.033009	1	0.009617	-0.031577	0.042796	11	-0.017711	-0.038959	0.009451	3	0.009259	0.001892
