start	end	F5:HeadMovement	F5:janej	F5:yes	F5:no	F5:word01	F5:Face	F5:pitch	M3:pitch	F5:intensity	M3:intensity	F5:x-pos	F5:y-pos	F5:weight	F5:velocity-r	F5:velocity-clock	F5:velocity-x	F5:velocity-y	F5:acceleration-r	F5:acceleration-clock	F5:acceleration-x	F5:acceleration-y	F5:jerk-r	F5:jerk-clock	F5:jerk-x	F5:jerk-y
9732	9736			0	0	0	Smile	164.39107598378283	164.39107598378283	39.298820322270075	39.298820322270075	204.097000	100.801000	0.956824	0.015248	9	-0.014950	0.003000	0.016841	6	0.004048	0.016347	0.004308	9	-0.004308	-0.000006
9736	9740			0	0	0	Smile	164.39107598378283	164.39107598378283	36.55557201467622	36.55557201467622	205.012000	100.814000	0.948353	0.067095	6	-0.015767	0.065217	0.008150	7	-0.004556	0.006758	0.004628	10	-0.004324	-0.001649
9740	9744			0	0	0	Smile	164.39107598378283	164.39107598378283	54.56491788607349	54.56491788607349	205.011000	100.816000	0.948378	0.050731	6	-0.001217	0.050717	0.014422	9	-0.014388	-0.000983	0.003721	10	-0.002963	-0.002250
9744	9748			0	0	0	Smile	164.39107598378283	164.39107598378283	56.0363443921092	56.0363443921092	205.013000	100.822000	0.938043	0.059671	8	-0.048183	0.035200	0.027987	9	-0.027146	-0.006810	0.000987	6	0.000067	0.000984
9748	9752			0	0	0	Smile	145.4842269253708	145.4842269253708	57.459241564297265	57.459241564297265	204.099000	100.821000	0.949027	0.096393	9	-0.094650	0.018250	0.018152	8	-0.017169	0.005892	0.005472	4	0.005132	0.001897
9752	9756			0	0	0	Smile	145.4842269253708	145.4842269253708	55.971843890380654	55.971843890380654	204.083000	101.756000	0.946864	0.153731	8	-0.139950	0.063617	0.011708	6	-0.001072	0.011659	0.005814	3	0.005641	0.001411
9756	9760			0	0	0	Smile	141.92822234851744	141.92822234851744	56.95904800013036	56.95904800013036	204.086000	100.830000	0.947362	0.144886	8	-0.109567	0.094800	0.024381	4	0.021359	0.011758	0.003804	3	0.003791	0.000323
9760	9764			0	0	0	Smile	145.33115056161225	145.33115056161225	53.26680043556582	53.26680043556582	204.075000	100.825000	0.948250	0.127009	7	-0.064067	0.109667	0.024232	4	0.022656	0.008596	0.001450	10	-0.001271	-0.000698
9764	9768			0	0	0	Smile	208.82397410087438	208.82397410087438	43.84441760334632	43.84441760334632	204.075000	100.826000	0.942658	0.109822	6	-0.002183	0.109800	0.017212	4	0.016514	0.004851	0.001457	12	0.000096	-0.001454
9768	9772			0	0	0	Smile	208.82397410087438	208.82397410087438	34.19221526263004	34.19221526263004	204.087000	101.757000	0.946570	0.096068	6	-0.000550	0.096067	0.017019	3	0.016886	0.002127	0.001110	6	0.000085	0.001107
9772	9776			0	0	0	Smile	208.82397410087438	208.82397410087438	36.79401993853635	36.79401993853635	204.076000	101.767000	0.939487	0.158174	5	0.062350	0.145367	0.030514	4	0.023409	0.019573	0.003857	5	0.001462	0.003569
9776	9780			0	0	0	Smile	208.82397410087438	208.82397410087438	47.02870040015743	47.02870040015743	204.070000	101.758000	0.937942	0.213521	5	0.110783	0.182533	0.030729	4	0.022963	0.020420	0.000897	8	-0.000636	0.000632
9780	9784			0	0	0	Smile	208.82397410087438	208.82397410087438	69.41364858109426	69.41364858109426	204.078000	101.765000	0.930142	0.289824	5	0.144817	0.251050	0.029651	5	0.016872	0.024382	0.004944	6	0.000440	0.004925
9784	9788			0	0	0	Smile	256.9780449972843	256.9780449972843	67.18668419467973	67.18668419467973	204.083000	101.794000	0.925629	0.316341	5	0.164017	0.270500	0.046503	5	0.023958	0.039857	0.001123	11	-0.000682	-0.000892
9788	9792			0	0	0	Smile	263.4887842302295	263.4887842302295	51.85165480200352	51.85165480200352	205.018000	101.814000	0.913446	0.449618	5	0.231567	0.385400	0.034523	5	0.019920	0.028197	0.002624	12	0.000630	-0.002547
9792	9796			0	0	0	Smile	314.00849975325696	314.00849975325696	41.74171301372623	41.74171301372623	205.031000	102.804000	0.898474	0.468548	5	0.267283	0.384833	0.029763	4	0.025408	0.015500	0.004765	1	0.002499	-0.004058
9796	9800			0	0	0	Smile	314.00849975325696	314.00849975325696	32.103326446218105	32.103326446218105	205.065000	103.774000	0.887181	0.534022	5	0.334600	0.416200	0.037381	4	0.035498	0.011716	0.007448	12	0.000779	-0.007407
9800	9804			0	0	0	Smile	314.00849975325696	314.00849975325696	28.901882995188064	28.901882995188064	205.090000	103.774000	0.871125	0.624313	5	0.418933	0.462883	0.035839	2	0.029761	-0.019969	0.013791	12	0.001026	-0.013753
9804	9808			0	0	0	Smile	314.00849975325696	314.00849975325696	25.75853220586014	25.75853220586014	206.054000	104.779000	0.852741	0.581051	4	0.438933	0.380733	0.085560	1	0.033838	-0.078584	0.007925	12	0.001537	-0.007774
9808	9812			0	0	0	Smile	314.00849975325696	314.00849975325696	24.068984780298315	24.068984780298315	206.082000	103.790000	0.850674	0.548861	3	0.536383	0.116367	0.096487	1	0.046566	-0.084506	0.009607	12	0.001060	-0.009549
9812	9816			0	0	0	Smile	314.00849975325696	314.00849975325696	24.172311255738443	24.172311255738443	207.065000	104.786000	0.836676	0.633427	3	0.633217	-0.016317	0.121761	1	0.041280	-0.114550	0.003819	11	-0.002027	-0.003237
9816	9820			0	0	0	Smile	314.00849975325696	314.00849975325696	25.732611896521774	25.732611896521774	208.059000	105.764000	0.834412	0.769263	2	0.716117	-0.280967	0.116486	1	0.034135	-0.111372	0.005473	8	-0.004543	0.003052
9820	9824			0	0	0	Smile	314.00849975325696	314.00849975325696	25.95147099498886	25.95147099498886	208.083000	104.795000	0.833527	0.911550	2	0.764317	-0.496733	0.093051	12	0.012660	-0.092185	0.009554	8	-0.006786	0.006725
9824	9828			0	0	0	Smile	314.00849975325696	314.00849975325696	36.11346892191727	36.11346892191727	209.076000	102.787000	0.841824	0.973504	2	0.780450	-0.581900	0.063088	12	-0.007674	-0.062619	0.013914	7	-0.004839	0.013046
9828	9829			0	0	0	Smile	314.00849975325696	314.00849975325696	62.96901327906671	62.96901327906671	210.065000	103.768000	0.841314	1.024408	1	0.701467	-0.746563	0.041174	11	-0.023449	-0.033844	0.015759	7	-0.005834	0.014640
9832	9836			0	0	1	Smile	345.6750442225877	345.6750442225877	61.5452832196161	61.5452832196161	211.072000	100.817000	0.918864	1.015526	1	0.669117	-0.763922	0.043456	8	-0.031094	0.030358	0.016603	6	-0.000857	0.016581
9836	9840			0	0	1	Smile	369.7716005226694	369.7716005226694	61.03760934599984	61.03760934599984	212.022000	100.811000	0.926343	0.877436	2	0.622267	-0.618610	0.078690	7	-0.027922	0.073570	0.007783	6	-0.000945	0.007725
9840	9844			0	0	1	Smile	387.267062137011	387.267062137011	55.031299822537385	55.031299822537385	212.069000	100.773000	0.951501	0.720079	2	0.557417	-0.455852	0.082953	7	-0.039735	0.072816	0.001529	11	-0.000786	-0.001312
9844	9848			0	0	1	Smile	399.16177641883235	399.16177641883235	58.60568605099493	58.60568605099493	212.111000	99.815300	0.960930	0.605632	2	0.475300	-0.375340	0.070388	7	-0.036003	0.060483	0.003612	1	0.001695	-0.003189
9848	9852			0	0	1	Smile	404.13990003215224	404.13990003215224	53.96329831667704	53.96329831667704	213.089000	99.786200	0.942595	0.423361	2	0.391450	-0.161248	0.075947	7	-0.032291	0.068740	0.000618	3	0.000604	0.000131
9852	9856			0	0	1	Smile	193.63585570403512	193.63585570403512	36.83787437692858	36.83787437692858	213.135000	99.753800	0.918289	0.347021	2	0.323983	-0.124332	0.051564	7	-0.029367	0.042385	0.005586	1	0.002517	-0.004988
9856	9860			0	0	1	Smile	193.63585570403512	193.63585570403512	31.72088463687011	31.72088463687011	214.104000	99.724200	0.904436	0.285345	3	0.285317	-0.004007	0.053475	6	-0.013584	0.051721	0.012875	4	0.011075	0.006566
9860	9861			0	0	1	Smile	193.63585570403512	193.63585570403512	28.381366220927795	28.381366220927795	214.109000	99.732800	0.909492	0.306091	4	0.282667	0.117435	0.085739	5	0.035013	0.078264	0.018449	4	0.016300	0.008642
9864	9868			0	0	0	Smile	193.63585570403512	193.63585570403512	34.993211992198574	34.993211992198574	214.105000	99.746700	0.928539	0.519925	4	0.431567	0.289952	0.136897	5	0.090562	0.102662	0.016845	4	0.015691	0.006128
9868	9872			0	0	0	Smile	193.63585570403512	193.63585570403512	36.89358074227786	36.89358074227786	214.102000	99.772500	0.936927	0.883111	4	0.696317	0.543165	0.175475	4	0.128379	0.119625	0.008668	3	0.008665	-0.000213
