start	end	F4:HeadMovement	F4:janej	F4:yes	F4:no	F4:word01	F4:Face	F4:pitch	M1:pitch	F4:intensity	M1:intensity	F4:x-pos	F4:y-pos	F4:weight	F4:velocity-r	F4:velocity-clock	F4:velocity-x	F4:velocity-y	F4:acceleration-r	F4:acceleration-clock	F4:acceleration-x	F4:acceleration-y	F4:jerk-r	F4:jerk-clock	F4:jerk-x	F4:jerk-y
26556	26560			0	0	0		95.8297013740939	95.92550730984539	42.01304924848291	41.65542712186635	396.605000	94.773800	0.882089	0.114994	8	-0.109667	0.034595	0.049594	12	0.005245	-0.049316	0.003735	6	0.000805	0.003647
26560	26564			0	0	0		95.8297013740939	95.92550730984539	58.41095450953205	56.860357215387225	396.594000	94.765800	0.876305	0.091277	11	-0.063617	-0.065455	0.046478	1	0.022566	-0.040631	0.009956	6	0.001606	0.009826
26564	26568			0	0	0		95.8297013740939	95.92550730984539	52.27972391656208	50.17132582677356	396.606000	93.793100	0.891988	0.099776	12	-0.002133	-0.099753	0.019240	4	0.015970	0.010730	0.010499	7	-0.003010	0.010059
26568	26572			0	0	0		95.8297013740939	95.92550730984539	49.152926896940755	50.040167795309216	396.594000	94.749300	0.881487	0.051230	12	-0.002833	-0.051152	0.021530	6	-0.000361	0.021527	0.003815	8	-0.002947	0.002423
26572	26576			0	0	0		95.8297013740939	95.92550730984539	42.132250622776624	40.39616527814182	396.603000	93.793600	0.885486	0.004647	10	-0.003633	-0.002897	0.025136	6	-0.000084	0.025136	0.000102	3	0.000101	0.000017
26576	26580			0	0	0		95.8297013740939	95.92550730984539	52.54020455917455	51.187507990846804	396.594000	94.742800	0.883710	0.047006	6	-0.002733	0.046927	0.021782	6	0.000361	0.021779	0.005350	12	-0.000016	-0.005350
26580	26584			0	0	0		95.8297013740939	95.92550730984539	43.04699027991278	44.97564773612038	396.584000	93.781400	0.892742	0.095412	6	-0.002033	0.095390	0.005424	12	-0.000214	-0.005419	0.003693	12	0.000007	-0.003693
26584	26588			0	0	0		95.8297013740939	95.92550730984539	52.68079506689248	53.13220262663116	396.576000	94.750500	0.875731	0.003360	9	-0.003250	-0.000853	0.012169	12	0.000126	-0.012169	0.001736	12	0.000042	-0.001735
26588	26592			0	0	0		98.95083593641911	99.12036906729456	59.69068324401509	59.35728710058045	396.575000	94.749300	0.874353	0.047894	6	-0.003200	0.047787	0.001142	6	0.000146	0.001132	0.001653	6	0.000061	0.001652
26592	26596			0	0	0		98.95083593641911	99.12036906729456	56.03305179468747	55.72768551102535	396.590000	94.755000	0.871569	0.016176	6	-0.002083	0.016042	0.009011	12	0.000678	-0.008986	0.000208	12	-0.000013	-0.000208
26596	26600			0	0	0		98.95083593641911	99.12036906729456	55.77026833473808	56.80628694496321	396.597000	94.739900	0.882651	0.047535	6	0.000017	0.047535	0.003636	6	0.000193	0.003631	0.002590	6	-0.000153	0.002585
26600	26604			0	0	0		98.297819275439	98.22980012361663	61.110861969890806	61.49513290040641	396.554000	93.778700	0.884704	0.000892	7	-0.000517	0.000727	0.005117	12	-0.000494	-0.005093	0.000152	9	-0.000152	-0.000014
26604	26608			0	0	0		94.7918814174641	94.70347699121886	60.929179349547184	61.02998035758975	396.575000	94.753100	0.873489	0.018208	6	-0.002767	0.017997	0.010320	6	-0.000900	0.010281	0.001924	6	0.000046	0.001923
26608	26612			0	0	0		92.93485440311221	92.20003179178967	60.64383069663635	58.965168151617306	396.575000	94.742900	0.880940	0.033625	6	-0.005217	0.033218	0.006800	6	-0.000196	0.006797	0.001954	12	0.000098	-0.001951
26612	26616			0	0	0		95.48679536041702	92.76297566961478	54.51838764320321	54.9093168909523	396.594000	94.742300	0.887793	0.050007	6	-0.003533	0.049882	0.001540	6	0.000206	0.001526	0.000931	6	0.000179	0.000914
26616	26620			0	0	0		95.48679536041702	95.04659301786465	55.6299361447205	56.4554249771676	396.567000	94.769400	0.868058	0.067097	6	-0.001967	0.067068	0.010701	6	0.000737	0.010676	0.001694	12	0.000193	-0.001683
26620	26624			0	0	0		95.48679536041702	95.04659301786465	56.818961003373246	57.37267371510059	396.547000	94.766200	0.866909	0.068829	6	-0.001450	0.068813	0.009663	12	0.001005	-0.009610	0.001747	12	0.000033	-0.001747
26624	26628			0	0	0		96.29843699179612	96.29450283549744	62.15103261439732	60.92717016277089	396.538000	94.740900	0.869323	0.053707	6	0.001900	0.053673	0.001565	2	0.001142	-0.001071	0.003936	6	0.000036	0.003936
26628	26632			0	0	0		101.56872114336772	101.54922125556641	57.981985557243775	55.18417064200048	396.572000	94.753300	0.873183	0.036187	6	0.002417	0.036107	0.010333	6	0.000928	0.010291	0.004231	6	-0.000139	0.004229
26632	26636			0	0	0		101.56872114336772	101.54922125556641	54.2508551302361	54.87935282560091	396.557000	94.779600	0.867602	0.085090	6	0.004850	0.084952	0.030795	6	0.000641	0.030788	0.006598	6	-0.000229	0.006594
26636	26640			0	0	0		98.18416464120989	98.0853030772583	59.49190885291159	58.526766674826135	396.585000	95.759400	0.865425	0.183805	6	0.005467	0.183723	0.052907	6	-0.000401	0.052905	0.002592	12	-0.000272	-0.002577
