start	end	M3:HeadMovement	M3:janej	M3:yes	M3:no	M3:word01	M3:Face	M3:pitch	M6:pitch	M3:intensity	M6:intensity	M3:x-pos	M3:y-pos	M3:weight	M3:velocity-r	M3:velocity-clock	M3:velocity-x	M3:velocity-y	M3:acceleration-r	M3:acceleration-clock	M3:acceleration-x	M3:acceleration-y	M3:jerk-r	M3:jerk-clock	M3:jerk-x	M3:jerk-y
6224	6228			0	0	0		151.02035444727986	166.93463635954933	22.52691308303529	30.161242772581843	190.237000	120.774000	0.878098	1.173316	3	1.172883	0.031850	0.208241	9	-0.207438	-0.018273	0.010010	3	0.009954	-0.001059
6228	6232			0	0	0		151.02035444727986	166.93463635954933	35.5553545041188	49.02542787395688	191.195000	119.849000	0.892489	0.869358	3	0.868167	-0.045500	0.162784	9	-0.161882	-0.017108	0.011253	3	0.011044	0.002157
6232	6236			0	0	0		151.02035444727986	169.8858628344745	45.131554823172436	58.06675537181954	191.209000	120.767000	0.909648	0.580320	3	0.577200	-0.060100	0.148819	9	-0.148814	0.001220	0.013247	4	0.011873	0.005875
6236	6240			0	0	0		151.02035444727986	179.0606739997642	47.206591723028964	58.77585066936675	191.254000	120.764000	0.923599	0.255142	3	0.254750	-0.014133	0.106827	9	-0.104463	0.022350	0.017226	3	0.017198	0.000986
6240	6244			0	0	0		151.02035444727986	150.61907210643446	44.621631057403555	56.55472540139841	191.260000	119.860000	0.919481	0.142321	3	0.138967	0.030717	0.035852	9	-0.035509	0.004943	0.018512	3	0.018070	-0.004020
6244	6248			0	0	0		151.02035444727986	150.61907210643446	39.25793511046567	53.154420341940764	191.288000	119.854000	0.914110	0.120258	3	0.119333	0.014883	0.009330	1	0.003543	-0.008631	0.008441	3	0.008377	-0.001038
6248	6252			0	0	0		151.02035444727986	147.79956929566728	42.773006653861756	54.939157937976155	191.285000	120.781000	0.923398	0.159776	2	0.147583	-0.061217	0.014692	2	0.013642	-0.005455	0.000894	5	0.000429	0.000784
6252	6256			0	0	0		151.02035444727986	157.56627069643883	42.81431297234084	54.80507872267627	191.279000	120.772000	0.922164	0.159633	3	0.159633	-0.000067	0.015345	5	0.004286	0.014734	0.003640	9	-0.003640	0.000017
6256	6260			0	0	0		151.02035444727986	177.69256061771168	42.384873313273246	56.38326871793791	192.212000	120.763000	0.914164	0.169455	4	0.158533	0.059850	0.008133	10	-0.005948	-0.005548	0.005187	11	-0.003666	-0.003670
6260	6264			0	0	0		151.02035444727986	169.80316152579093	42.77148887810445	54.141504967321275	192.214000	119.841000	0.908744	0.142204	3	0.141233	-0.016583	0.028938	11	-0.015675	-0.024325	0.005947	10	-0.005667	-0.001803
6264	6268			0	0	0		151.02035444727986	169.80316152579093	41.19019629786321	54.879575979171726	192.229000	119.860000	0.911909	0.143646	2	0.109983	-0.092400	0.041674	10	-0.038132	-0.016815	0.004775	8	-0.003966	0.002659
6268	6272			0	0	0		151.02035444727986	169.80316152579093	38.369959911876144	49.85912085553241	192.227000	120.774000	0.917382	0.091241	12	0.001200	-0.091233	0.046952	9	-0.046932	0.001353	0.008528	8	-0.006435	0.005597
6272	6276			0	0	0		151.02035444727986	169.80316152579093	30.939455086019173	39.614815740929345	192.228000	120.761000	0.916660	0.135275	10	-0.112100	-0.075717	0.075929	9	-0.073705	0.018244	0.018337	9	-0.018148	0.002631
6276	6280			0	0	0		151.02035444727986	169.80316152579093	24.71362919635276	31.681609580952266	192.221000	119.845000	0.913400	0.276440	9	-0.275983	0.015883	0.151390	9	-0.149719	0.022428	0.031492	9	-0.031462	0.001380
6280	6284			0	0	0		151.02035444727986	169.80316152579093	23.684475967106525	29.151273743544802	192.217000	119.858000	0.915874	0.717590	9	-0.716933	0.030700	0.274102	9	-0.273734	0.014199	0.042155	9	-0.042153	0.000396
6284	6288			0	0	0		151.02035444727986	169.80316152579093	23.46696364139936	28.756146942388465	191.290000	119.855000	0.913446	1.417673	9	-1.417300	0.032533	0.404161	9	-0.403601	0.021263	0.035341	9	-0.035326	0.001039
6288	6292			0	0	0		151.02035444727986	169.80316152579093	35.727528311697576	50.27516528239111	191.231000	119.850000	0.914811	2.348856	9	-2.346883	0.096233	0.483199	9	-0.482388	0.027987	0.018140	10	-0.017370	-0.005227
6292	6296			0	0	0		151.02035444727986	167.9073514456233	39.90002808991472	55.2235104154774	189.294000	120.772000	0.875089	3.328899	9	-3.325250	0.155817	0.495943	9	-0.495910	-0.005693	0.016604	2	0.015138	-0.006822
6296	6300			0	0	0		151.02035444727986	167.9073514456233	42.05644082715851	55.758761633011396	184.406000	120.775000	0.925728	4.255233	9	-4.254517	0.078100	0.393915	9	-0.393304	-0.021923	0.046112	3	0.045940	-0.003984
6300	6304			0	0	0		151.02035444727986	167.9073514456233	32.50852813292579	45.6586618077111	178.544000	120.790000	0.891386	4.842666	9	-4.842267	0.062167	0.219533	9	-0.218587	-0.020351	0.070186	3	0.070172	0.001373
6304	6312			0	0	0		151.02035444727986	167.9073514456233	41.930175421572585	55.316212438890624	171.687000	120.808000	0.887290	5.116037	9	-5.115933	0.032600	0.019561	1	0.011019	-0.016162	0.079486	3	0.079422	0.003177
6308	6316			0	0	0		151.02035444727986	156.2193173912927	35.78853544691948	48.60788325128474	165.819000	120.771000	0.866552	4.839786	9	-4.839767	-0.013750	0.261588	3	0.261499	-0.006816	0.069051	3	0.068932	0.004055
6312	6316			0	0	0		151.02035444727986	156.2193173912927	35.78853544691948	48.60788325128474	159.962000	119.859000	0.923916	4.091767	9	-4.091767	0.000167	0.429948	3	0.429817	0.010597	0.035012	3	0.034880	0.003032
