start	end	M5:HeadMovement	M5:janej	M5:yes	M5:no	M5:word01	M5:Face	M5:pitch	F3:pitch	M5:intensity	F3:intensity	M5:x-pos	M5:y-pos	M5:weight	M5:velocity-r	M5:velocity-clock	M5:velocity-x	M5:velocity-y	M5:acceleration-r	M5:acceleration-clock	M5:acceleration-x	M5:acceleration-y	M5:jerk-r	M5:jerk-clock	M5:jerk-x	M5:jerk-y
7460	7464			0	0	1		118.80782633858846	118.80782633858846	21.935096824205008	21.935096824205008	206.093000	86.733700	0.846549	0.017396	6	0.000167	0.017395	0.021906	12	-0.000357	-0.021903	0.001205	12	0.000019	-0.001205
7464	7468			0	0	1		118.80782633858846	118.80782633858846	29.060777310218437	29.060777310218437	206.084000	86.720900	0.853080	0.016808	12	0.000217	-0.016807	0.022235	12	-0.000127	-0.022235	0.000981	6	0.000041	0.000980
7468	7472			0	0	1		118.80782633858846	118.80782633858846	30.069621067160273	30.069621067160273	206.079000	85.773100	0.857902	0.050812	12	0.000117	-0.050812	0.018175	12	-0.000162	-0.018175	0.003093	6	-0.000002	0.003093
7472	7476			0	0	1		118.80782633858846	118.80782633858846	23.034526926517845	23.034526926517845	206.087000	85.774200	0.854600	0.086309	12	-0.000683	-0.086307	0.008828	12	-0.000233	-0.008825	0.004305	6	0.000032	0.004305
7476	7480			0	0	1		118.80782633858846	118.80782633858846	39.97262389649523	39.97262389649523	206.082000	85.760800	0.858309	0.118615	12	-0.001100	-0.118610	0.005123	6	0.000078	0.005123	0.004188	6	0.000064	0.004188
7480	7484			0	0	1		118.80782633858846	118.80782633858846	42.238895258766945	42.238895258766945	206.084000	85.734100	0.865108	0.071400	12	-0.000000	-0.071400	0.023879	6	0.000277	0.023877	0.001875	6	0.000007	0.001875
7484	7488			0	0	1		118.80782633858846	118.80782633858846	41.91853855490918	41.91853855490918	206.077000	85.741400	0.862631	0.005994	12	0.000183	-0.005992	0.017555	6	-0.000009	0.017555	0.002909	12	-0.000052	-0.002909
7488	7492			0	0	1		118.80782633858846	118.80782633858846	42.48426144315403	42.48426144315403	206.079000	85.720800	0.866932	0.003984	12	-0.000433	-0.003960	0.001376	6	-0.000103	0.001372	0.006035	12	-0.000000	-0.006035
7492	7496			0	0	1		118.80782633858846	118.80782633858846	37.92209248497467	37.92209248497467	206.082000	85.730500	0.867507	0.000939	11	-0.000350	-0.000872	0.015277	12	0.000080	-0.015277	0.000163	12	0.000003	-0.000163
7496	7500			0	0	1		118.80782633858846	118.80782633858846	26.28810688025231	26.28810688025231	206.087000	85.713400	0.870856	0.061885	12	-0.000117	-0.061885	0.006242	12	-0.000033	-0.006242	0.001402	6	-0.000047	0.001401
7500	7503			0	0	1		118.80782633858846	118.80782633858846	29.88179176986847	29.88179176986847	206.083000	85.747300	0.861579	0.047265	12	0.000000	-0.047265	0.000731	6	-0.000188	0.000707	0.000973	12	0.000012	-0.000973
7504	7508			0	0	0		118.80782633858846	118.80782633858846	26.31208958123654	26.31208958123654	206.077000	85.738000	0.869923	0.031822	12	-0.000917	-0.031808	0.010205	12	-0.000106	-0.010204	0.001117	12	0.000023	-0.001117
