start	end	M6:HeadMovement	M6:janej	M6:yes	M6:no	M6:word01	M6:Face	M6:pitch	F1:pitch	M6:intensity	F1:intensity	M6:x-pos	M6:y-pos	M6:weight	M6:velocity-r	M6:velocity-clock	M6:velocity-x	M6:velocity-y	M6:acceleration-r	M6:acceleration-clock	M6:acceleration-x	M6:acceleration-y	M6:jerk-r	M6:jerk-clock	M6:jerk-x	M6:jerk-y
27864	27868			0	0	0		178.94313284362818	161.7093867083383	17.61572844138344	22.238970850476406	217.680000	87.573400	0.830269	0.080868	6	-0.000667	0.080865	0.018890	4	0.013472	0.013241	0.005838	12	0.000024	-0.005838
27868	27872			0	0	0		178.94313284362818	161.7093867083383	17.174835489830187	18.401538234217515	217.678000	88.498100	0.827714	0.121343	5	0.047667	0.111588	0.032953	3	0.032516	-0.005348	0.001257	2	0.000923	-0.000853
27872	27880			0	0	0		178.94313284362818	161.7093867083383	17.44963320078032	19.715438511868484	217.657000	87.563500	0.831054	0.116978	4	0.096533	0.066070	0.017337	3	0.017310	-0.000967	0.002611	3	0.002611	-0.000053
27876	27884			0	0	0		178.94313284362818	161.7093867083383	13.820726987397345	17.810846774978415	217.672000	87.562000	0.828348	0.152627	4	0.129233	0.081202	0.046372	3	0.046371	-0.000399	0.001144	3	0.001124	0.000213
27880	27884			0	0	0		178.94313284362818	161.7093867083383	13.820726987397345	17.810846774978415	218.621000	88.516100	0.832755	0.285423	4	0.274167	0.079367	0.035278	3	0.035276	-0.000328	0.004098	10	-0.003044	-0.002743
27884	27888			0	0	0		178.94313284362818	161.7093867083383	13.820726987397345	17.810846774978415	217.683000	88.500600	0.828641	0.314203	3	0.307500	0.064553	0.023392	2	0.017537	-0.015481	0.005994	9	-0.005994	0.000033
27888	27891			0	0	0		178.94313284362818	161.7093867083383	16.684850696093246	18.593947361529658	218.636000	87.575300	0.828496	0.313087	3	0.309467	0.047477	0.003657	10	-0.003346	-0.001475	0.006923	9	-0.006879	0.000781
27892	27896			0	0	1		178.94313284362818	161.7093867083383	39.383359530529106	33.83248332353382	218.649000	88.514700	0.839123	0.277391	3	0.275600	0.031468	0.025023	10	-0.021789	-0.012303	0.005701	9	-0.005681	-0.000478
27896	27900			0	0	1		178.94313284362818	161.7093867083383	39.383359530529106	33.83248332353382	220.572000	88.510900	0.840155	0.211150	3	0.211150	-0.000440	0.032943	9	-0.032780	-0.003274	0.004340	7	-0.003034	0.003102
27900	27904			0	0	1		161.78672131097125	161.7093867083383	55.47614908689308	50.542451165515416	219.612000	88.514700	0.840035	0.196742	3	0.194117	0.032033	0.034663	8	-0.032758	0.011334	0.001979	6	-0.000317	0.001954
