start	end	M1:HeadMovement	M1:janej	M1:yes	M1:no	M1:word01	M1:Face	M1:pitch	M5:pitch	M1:intensity	M5:intensity	M1:x-pos	M1:y-pos	M1:weight	M1:velocity-r	M1:velocity-clock	M1:velocity-x	M1:velocity-y	M1:acceleration-r	M1:acceleration-clock	M1:acceleration-x	M1:acceleration-y	M1:jerk-r	M1:jerk-clock	M1:jerk-x	M1:jerk-y
3336	3340	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	25.38280832609365	24.53461808582145	200.106000	97.344700	0.924583	2.785379	6	0.520383	2.736337	0.109254	5	0.034373	0.103706	0.023359	12	-0.002818	-0.023188
3340	3380	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	29.599781149317618	30.095897600220844	201.018000	99.336700	0.858671	2.987599	6	0.506750	2.944308	0.026174	4	0.024597	0.008947	0.035214	11	-0.015028	-0.031847
3344	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	201.044000	105.112000	0.884389	2.887757	6	0.568150	2.831315	0.112087	11	-0.039033	-0.105071	0.053118	11	-0.017568	-0.050128
3348	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	202.975000	106.153000	0.857769	2.437388	6	0.372700	2.408725	0.308101	11	-0.093078	-0.293705	0.051184	11	-0.018076	-0.047886
3352	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	203.955000	109.075000	0.822081	1.717964	6	0.162600	1.710252	0.413040	11	-0.135914	-0.390038	0.048445	12	-0.007750	-0.047821
3356	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	203.004000	112.941000	0.860440	0.789769	6	-0.128750	0.779203	0.590757	12	-0.138998	-0.574172	0.033218	12	0.002240	-0.033143
3360	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	203.955000	112.994000	0.867733	0.662420	11	-0.343867	-0.566177	0.611790	12	-0.118756	-0.600153	0.013663	3	0.013429	0.002521
3364	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	201.073000	112.940000	0.869169	1.659897	11	-0.605900	-1.545362	0.527019	12	-0.075084	-0.521643	0.040021	5	0.016158	0.036614
3368	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	201.041000	107.158000	0.847753	2.640365	12	-0.673200	-2.553102	0.410410	12	-0.014022	-0.410171	0.060354	5	0.020556	0.056746
3372	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	200.040000	105.117000	0.921163	3.284671	12	-0.655950	-3.218508	0.193684	12	0.043937	-0.188634	0.078624	6	0.012642	0.077601
3376	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	200.027000	98.355100	0.911899	3.364659	12	-0.559633	-3.317792	0.090584	4	0.065901	0.062149	0.067756	6	0.004979	0.067572
3380	3384	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	24.766554876525888	20.173555766109335	199.043000	96.383500	0.908063	3.044778	12	-0.317967	-3.028130	0.233349	5	0.086660	0.216661	0.037315	6	0.000573	0.037311
3384	3388	HeadForward		0	0	0	Laughter	127.01975979975961	128.90539158287987	30.361802148489318	40.77560722862543	199.050000	92.471800	0.868494	2.423850	12	-0.233333	-2.412593	0.299018	6	0.050748	0.294680	0.011312	7	-0.006723	0.009097
3388	3392	HeadForward		0	0	0	Laughter	127.01975979975961	107.84631765221924	43.296469414446214	52.4922343695371	198.112000	90.534000	0.894495	1.942230	12	-0.118767	-1.938595	0.257705	6	0.051781	0.252450	0.016799	12	-0.002377	-0.016630
3392	3396	HeadForward		0	0	0	Laughter	127.01975979975961	103.81566109152543	45.789002422057294	54.04009635283608	199.026000	89.558100	0.911147	1.374273	12	-0.051750	-1.373298	0.217865	6	0.034358	0.215139	0.023590	11	-0.008768	-0.021900
3396	3400	HeadForward		0	0	0	Laughter	127.01975979975961	100.4765880584809	43.25601066232666	51.51189298402202	199.023000	89.480300	0.911797	1.129002	12	0.029567	-1.128615	0.106356	6	0.007372	0.106100	0.031034	11	-0.011244	-0.028925
3400	3404	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	38.150223538019276	42.35035954844034	199.037000	88.557500	0.909139	0.901143	12	-0.018267	-0.900958	0.071503	7	-0.038867	0.060016	0.018733	11	-0.012956	-0.013530
3404	3408	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	32.558075766694195	39.623208404146204	199.017000	87.566300	0.866599	0.873439	12	-0.114133	-0.865950	0.070267	9	-0.069113	0.012682	0.015374	10	-0.011618	-0.010068
3408	3412	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	30.235791824073267	36.059975312878734	199.049000	86.589100	0.867650	0.904683	11	-0.320417	-0.846040	0.112222	9	-0.112204	0.002010	0.007186	7	-0.004122	0.005887
3412	3416	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	40.639067669795786	36.085190979229296	199.032000	85.600300	0.860486	1.016472	11	-0.547383	-0.856497	0.100580	8	-0.091962	0.040737	0.013626	5	0.007626	0.011292
3416	3420	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	33.87844655457823	31.34552763890522	198.076000	84.620700	0.852925	0.983882	11	-0.694100	-0.697315	0.100906	7	-0.061800	0.079768	0.011148	4	0.009346	0.006077
3420	3424	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	20.97106687813158	19.687281658014506	197.105000	83.679900	0.845213	0.920681	10	-0.759900	-0.519813	0.082215	7	-0.033070	0.075271	0.013490	3	0.013350	0.001935
3424	3428	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	16.05269129061499	14.152096725551328	196.135000	83.677700	0.833481	0.904633	10	-0.809233	-0.404355	0.082684	6	0.008711	0.082223	0.014279	3	0.014213	-0.001372
3428	3432	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	12.6103945725042	13.983905896645881	194.188000	82.728000	0.864337	0.793334	10	-0.759967	-0.227660	0.090639	5	0.051184	0.074804	0.014903	2	0.014187	-0.004564
3432	3436	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	13.8877243304144	13.1405387508868	194.186000	83.662300	0.846357	0.620419	9	-0.614583	-0.084892	0.111473	4	0.095908	0.056814	0.005931	2	0.004722	-0.003588
3436	3437	HeadForward		0	0	0	Laughter	127.01975979975961	127.36448849310838	15.367079239027166	16.443119049596753	194.173000	83.636100	0.863729	0.389126	9	-0.388983	0.010548	0.100446	4	0.086833	0.050490	0.009527	11	-0.006651	-0.006821
3440	3444	HeadForward		0	0	1	Laughter	127.01975979975961	127.36448849310838	16.41100295604344	16.843240888688623	193.229000	82.714100	0.886223	0.267163	8	-0.244333	0.108062	0.056213	4	0.052561	0.019933	0.010103	10	-0.007408	-0.006870
3444	3448	HeadForward		0	0	1	Laughter	127.01975979975961	127.36448849310838	39.406122893735926	33.314681037422915	193.221000	83.641100	0.866113	0.216847	8	-0.176600	0.125837	0.036254	3	0.036122	0.003082	0.011049	10	-0.009823	-0.005060
3448	3452	HeadForward		0	0	1	Laughter	127.01975979975961	127.36448849310838	46.20472641083998	38.37982316750017	193.227000	83.631200	0.873183	0.159149	8	-0.145800	0.063802	0.016278	12	-0.002929	-0.016012	0.008292	10	-0.007286	-0.003959
3452	3456	HeadForward		0	0	1	Laughter	122.34790179305584	121.21083090690205	48.438608854996716	46.78919139396391	194.174000	83.653500	0.856672	0.172212	8	-0.159633	0.064608	0.009372	11	-0.003965	-0.008492	0.000935	10	-0.000832	-0.000426
3456	3460	HeadForward		0	0	1	Laughter	120.85819061177547	113.34954354703402	51.89844446266073	49.94130992369207	193.198000	84.618800	0.866479	0.157286	8	-0.143400	0.064617	0.018672	11	-0.005315	-0.017900	0.001784	12	0.000026	-0.001784
3460	3464	HeadForward		0	0	1	Laughter	122.50605189217887	104.28138655102117	51.499361069217755	51.23049335173273	192.280000	83.660200	0.891143	0.175295	9	-0.174750	-0.013808	0.028775	11	-0.010531	-0.026778	0.004749	3	0.004617	0.001113
3464	3468			0	0	1	Laughter	122.50605189217887	108.13567167877204	43.49450721784872	49.53338574146335	193.196000	83.645800	0.884167	0.192070	9	-0.189533	-0.031115	0.021008	2	0.019762	-0.007126	0.006949	4	0.004914	0.004913
3468	3472			0	0	1	Laughter	122.50605189217887	112.98637431468157	46.99542530643689	49.55309666422301	192.281000	83.650000	0.886998	0.136235	10	-0.127400	-0.048262	0.025513	3	0.025457	-0.001698	0.002946	5	0.001858	0.002286
3472	3476			0	0	1	Laughter	122.50605189217887	113.38168823400812	41.86939749510646	46.95735971925036	192.272000	83.667700	0.879964	0.080489	11	-0.047350	-0.065088	0.032397	3	0.031710	0.006635	0.002450	7	-0.001703	0.001761
3476	3480			0	0	1	Laughter	122.50605189217887	126.70350635569638	31.492803044563527	34.40501655673815	192.263000	83.651600	0.896236	0.018001	9	-0.017983	-0.000800	0.018746	5	0.008359	0.016779	0.005744	9	-0.005744	0.000008
3480	3484			0	0	1	Laughter	122.50605189217887	126.70350635569638	30.42916786890004	37.2363804663284	192.280000	83.644000	0.883912	0.048586	9	-0.048583	-0.000500	0.003065	9	-0.003064	-0.000052	0.003869	11	-0.002355	-0.003070
3484	3488			0	0	1	Laughter	122.50605189217887	111.45706269657532	36.01493467544313	45.07789340406558	193.191000	83.659500	0.876308	0.002191	10	-0.001800	-0.001250	0.005583	3	0.005582	-0.000108	0.003000	3	0.003000	-0.000021
3488	3492			0	0	1	Laughter	122.50605189217887	109.92856522900738	42.54769236360146	50.55299265585092	192.267000	83.643500	0.890024	0.016395	9	-0.016333	-0.001425	0.006838	3	0.006838	-0.000081	0.001848	9	-0.001848	0.000016
3492	3494			0	0	1	Laughter	122.50605189217887	112.63265110192808	39.958009356289324	48.30489687315747	192.250000	83.651100	0.898618	0.030334	3	0.030317	-0.001037	0.000287	3	0.000283	0.000046	0.003230	3	0.003228	0.000109
3496	3500			0	0	0	Laughter	122.50605189217887	109.10231872440967	41.06813296988358	48.58460545498556	192.261000	83.647600	0.892053	0.001548	11	-0.000550	-0.001447	0.014332	3	0.014326	0.000412	0.002989	3	0.002989	-0.000003
3500	3504			0	0	0	Laughter	122.50605189217887	107.81391058908767	50.18814161138762	50.32629689213324	192.272000	83.646700	0.889233	0.031784	3	0.031783	0.000205	0.023257	3	0.023255	0.000283	0.001163	3	0.001163	0.000019
3504	3508			0	0	0	Laughter	122.50605189217887	106.11545879503926	44.03381843290948	49.13222528573453	192.265000	83.650300	0.888458	0.125304	3	0.125300	0.001003	0.028788	3	0.028786	0.000405	0.001876	9	-0.001876	0.000003
3508	3512			0	0	0	Laughter	122.50605189217887	113.398530694107	35.31701833188737	37.58592087478071	193.190000	83.636700	0.878120	0.143269	3	0.143267	0.000853	0.005117	3	0.005115	0.000131	0.002670	9	-0.002670	0.000023
3512	3516			0	0	0	Laughter	122.50605189217887	113.398530694107	38.067388567376554	46.82158548036378	192.268000	83.637100	0.896269	0.143989	3	0.143983	0.001308	0.012538	3	0.012522	0.000621	0.002739	9	-0.002738	-0.000072
3516	3520			0	0	0	Laughter	122.50605189217887	111.65943231628887	38.88534025393051	46.075415228082804	193.196000	83.673900	0.867567	0.191610	3	0.191583	0.003220	0.004779	9	-0.004779	-0.000058	0.003659	9	-0.003654	-0.000189
3520	3524			0	0	0	Laughter	122.50605189217887	123.0075357962928	36.98426215036833	43.59526618503221	193.204000	83.649200	0.875102	0.146412	3	0.146400	0.001857	0.017432	9	-0.017417	-0.000720	0.003218	12	0.000132	-0.003215
3524	3528	Jerk		0	0	0	Laughter	122.50605189217887	123.0075357962928	28.909261105170664	33.67393806389744	193.229000	83.652400	0.862670	0.082800	3	0.082800	-0.000008	0.018633	11	-0.005800	-0.017707	0.006476	12	-0.001216	-0.006360
3528	3532	Jerk		0	0	0	Smile	122.50605189217887	123.0075357962928	20.72501001355569	24.56524550471807	193.232000	83.654200	0.866181	0.158755	2	0.144300	-0.066187	0.043399	12	-0.010375	-0.042141	0.007806	12	-0.001418	-0.007676
3532	3533	Jerk		0	0	0	Smile	122.50605189217887	123.0075357962928	17.14217682983267	20.970439277825918	194.167000	83.681200	0.839574	0.190330	1	0.050583	-0.183485	0.070662	11	-0.028887	-0.064488	0.007091	11	-0.002241	-0.006728
3536	3540	Jerk		0	0	0	Smile	122.50605189217887	123.0075357962928	18.227221922502792	18.33575704975161	193.238000	83.641600	0.859526	0.329647	12	0.017767	-0.329168	0.081787	12	-0.017472	-0.079899	0.007246	1	0.002218	-0.006898
3540	3543	Jerk		0	0	0	Smile	122.50605189217887	123.0075357962928	16.71223574858199	16.979854156359615	193.212000	83.628300	0.883588	0.493585	12	-0.016817	-0.493298	0.103674	12	-0.016927	-0.102283	0.005095	4	0.003959	0.003207
3544	3548	Jerk		0	0	1	Smile	122.50605189217887	123.0075357962928	48.6016480189545	40.98557371085582	194.169000	82.675100	0.880979	0.721332	12	-0.047700	-0.719753	0.069138	12	0.004421	-0.068996	0.013175	5	0.005334	0.012047
3548	3552	Jerk		0	0	1	Smile	119.4984654455245	119.71487234092146	53.16340932763957	46.6388324188658	193.238000	81.667400	0.885970	0.784858	12	-0.015983	-0.784695	0.029016	1	0.019993	-0.021029	0.016919	6	0.001154	0.016879
3552	3556	Jerk		0	0	1	Smile	115.99282684397537	116.26003227916348	52.36353399375031	45.626573700100614	193.234000	80.703200	0.857066	0.769958	12	0.078650	-0.765930	0.034520	5	0.015727	0.030729	0.019669	6	-0.001907	0.019576
3556	3560	Jerk		0	0	1	Smile	117.61009594564936	117.48859651957204	52.67575574237762	46.56855698762519	193.207000	79.714700	0.833019	0.667440	12	0.033367	-0.666605	0.090507	6	-0.008388	0.090117	0.018059	7	-0.004924	0.017375
3560	3564	Jerk		0	0	1	Smile	116.10376715190415	116.40522085085354	51.94494565232467	46.243277437736275	193.232000	77.792200	0.821545	0.423591	12	-0.014483	-0.423343	0.137552	6	-0.009749	0.137206	0.007733	6	0.001654	0.007554
3564	3568	Jerk		0	0	1	Smile	112.50220923459675	112.94344437856435	52.03724582125584	46.50451713261782	194.168000	78.747600	0.814517	0.132211	12	0.017467	-0.131052	0.136667	6	0.012670	0.136078	0.005004	1	0.001973	-0.004598
3568	3572	Jerk		0	0	1	Smile	105.99642353808932	106.57291977685807	52.29347645269496	46.27473645193592	194.177000	78.742800	0.814121	0.122086	5	0.050850	0.110992	0.108409	6	0.002823	0.108372	0.012702	12	0.002426	-0.012468
3572	3576	Jerk		0	0	1	Smile	122.62894524990278	540.2720480042067	46.12462115260623	38.48256000581	193.242000	78.766100	0.821980	0.297143	6	0.067967	0.289265	0.067447	5	0.022230	0.063678	0.016738	12	0.002097	-0.016606
3576	3580	Jerk		0	0	1	Smile	122.62894524990278	540.2720480042067	45.07514772250288	38.746981715444534	193.237000	79.722900	0.829328	0.408313	5	0.129817	0.387127	0.017556	4	0.014098	0.010462	0.015969	12	0.002679	-0.015742
3580	3584	Jerk		0	0	1	Smile	122.62894524990278	540.2720480042067	34.99468669710099	30.95810491859289	193.244000	80.673500	0.837957	0.323129	5	0.098850	0.307638	0.045950	1	0.026400	-0.037609	0.009862	12	0.000865	-0.009824
3584	3588	Jerk		0	0	1	Smile	122.62894524990278	540.2720480042067	44.294884758789294	38.1370189585113	194.198000	80.679000	0.827057	0.323972	5	0.192583	0.260518	0.050898	1	0.034003	-0.037873	0.000745	1	0.000422	-0.000614
3588	3592	Jerk		0	0	1	Smile	122.62894524990278	540.2720480042067	45.75080678767176	38.39754155502638	194.199000	80.680600	0.835100	0.325519	4	0.271367	0.179785	0.055154	1	0.030604	-0.045885	0.001537	8	-0.001452	0.000504
3592	3596	Jerk		0	0	1	Smile	122.62894524990278	108.02799935487235	41.207435217322455	34.122689054162755	195.145000	80.704400	0.842083	0.329474	3	0.322317	0.068300	0.046530	1	0.023359	-0.040242	0.006843	8	-0.005194	0.004454
3596	3600	Jerk		0	0	1	Smile	122.62894524990278	108.02799935487235	45.4949288557053	39.16677114696518	194.206000	80.694700	0.840721	0.387756	3	0.387733	0.004217	0.017054	12	0.001998	-0.016936	0.009062	6	-0.000834	0.009023
3600	3604	Jerk		0	0	1	Smile	122.62894524990278	108.02799935487235	35.941974452402604	31.856496615361575	195.150000	80.711600	0.848969	0.325356	3	0.325333	0.003818	0.015995	6	0.003217	0.015668	0.003740	5	0.002117	0.003084
3604	3608			0	0	1	Smile	122.62894524990278	108.02799935487235	36.5966824133474	27.554987098746743	195.160000	80.704400	0.848218	0.364839	3	0.359117	0.064365	0.023496	4	0.022649	0.006249	0.001678	5	0.000965	0.001373
3608	3612			0	0	1	Smile	122.62894524990278	108.02799935487235	33.29227383371621	25.37456576304489	196.157000	80.704400	0.850841	0.409837	3	0.406950	0.048563	0.020726	5	0.014527	0.014782	0.006885	9	-0.006834	0.000835
3612	3616			0	0	1	Smile	122.62894524990278	108.02799935487235	25.760071978874567	21.583901228509454	197.109000	80.704000	0.854550	0.479705	3	0.470300	0.094523	0.020493	7	-0.012693	0.016089	0.005195	9	-0.005171	-0.000506
3616	3620			0	0	1	Smile	122.62894524990278	108.02799935487235	23.05215166288264	18.023124087059053	196.151000	80.716300	0.848977	0.364510	4	0.342617	0.124423	0.037210	8	-0.035333	0.011668	0.005185	10	-0.004820	-0.001911
3620	3622			0	0	1	Smile	122.62894524990278	108.02799935487235	21.471432991475798	18.270524663908862	197.128000	81.634300	0.869671	0.338294	4	0.307833	0.140292	0.030522	9	-0.030219	0.004286	0.002748	1	0.000853	-0.002612
3624	3628			0	0	0	Smile	122.62894524990278	108.02799935487235	18.66597092785728	23.183695408365253	198.070000	80.725900	0.879239	0.265049	4	0.225033	0.140040	0.033280	9	-0.033024	-0.004115	0.002763	12	0.000702	-0.002672
3628	3632			0	0	0	Smile	122.62894524990278	108.02799935487235	32.63070359007728	40.9904321887688	198.088000	81.633900	0.894467	0.217806	4	0.177850	0.125733	0.024192	10	-0.021204	-0.011646	0.002992	2	0.002376	-0.001818
3632	3636			0	0	0	Smile	122.62894524990278	108.02799935487235	26.926672908033012	35.0537939827042	197.132000	81.637500	0.874555	0.201464	4	0.177733	0.094862	0.023777	10	-0.017818	-0.015744	0.000798	2	0.000590	-0.000538
3636	3640			0	0	0	Smile	122.62894524990278	108.02799935487235	23.595927672557025	31.19596574912015	198.077000	81.641600	0.884060	0.095978	4	0.081917	0.050015	0.033420	10	-0.029979	-0.014770	0.000928	5	0.000282	0.000884
3640	3644			0	0	0	Smile	122.62894524990278	108.02799935487235	31.937369571821495	40.87639327557937	198.076000	81.641300	0.885504	0.073787	5	0.035083	0.064913	0.011487	10	-0.009921	-0.005791	0.004343	4	0.004115	0.001389
3644	3648			0	0	0	Smile	122.62894524990278	108.02799935487235	32.03743523583615	39.66188980917068	198.093000	81.664700	0.901583	0.050194	3	0.049783	0.006405	0.015227	12	0.000648	-0.015213	0.000838	3	0.000832	-0.000103
3648	3652			0	0	0	Smile	122.62894524990278	108.02799935487235	31.970174673897684	38.43928088038301	198.093000	81.656800	0.904052	0.065307	3	0.064833	0.007855	0.006511	9	-0.006510	-0.000037	0.003148	5	0.001320	0.002858
3652	3656			0	0	0	Smile	122.62894524990278	108.02799935487235	29.24710772554112	37.41121902192539	198.101000	81.670000	0.905515	0.007033	5	0.002833	0.006437	0.000543	9	-0.000543	0.000019	0.002921	6	-0.000037	0.002920
3656	3658			0	0	0	Smile	122.62894524990278	108.02799935487235	30.68396320057762	39.61818064294726	198.102000	81.657100	0.903979	0.064353	3	0.063983	0.006883	0.017210	5	0.006200	0.016054	0.003276	5	0.001479	0.002923
3660	3664			0	0	1	Smile	122.62894524990278	108.02799935487235	38.631084381791	38.27349690322567	198.091000	81.697200	0.904496	0.082733	5	0.047467	0.067762	0.022419	6	-0.001045	0.022395	0.001686	5	0.000881	0.001438
3664	3668			0	0	1	Smile	122.62894524990278	108.02799935487235	38.06886885660748	35.55603419193631	198.079000	81.704400	0.900561	0.118940	5	0.032933	0.114290	0.024223	5	0.010010	0.022058	0.001397	2	0.001192	-0.000728
3668	3672			0	0	1	Smile	122.62894524990278	108.02799935487235	33.18987977072346	31.08888300514886	198.116000	81.674500	0.905951	0.166838	5	0.079400	0.146733	0.020525	5	0.013554	0.015414	0.002805	12	0.000304	-0.002789
3672	3676			0	0	1	Smile	122.62894524990278	108.02799935487235	46.23532994275585	39.70168862016329	199.028000	81.706600	0.914598	0.197898	5	0.112250	0.162983	0.012633	4	0.011503	0.005221	0.003916	12	-0.000834	-0.003826
3676	3680			0	0	1	Smile	122.62894524990278	99.49514142931733	43.05980572750207	37.991758225107205	198.102000	82.629700	0.914507	0.205773	5	0.129333	0.160048	0.008222	2	0.005833	-0.005794	0.004223	11	-0.001681	-0.003873
3680	3684			0	0	1	Smile	122.62894524990278	99.49514142931733	42.812292921288005	37.28847509603236	198.117000	82.632300	0.909230	0.194510	5	0.129567	0.145075	0.015406	12	-0.000925	-0.015378	0.003427	11	-0.001966	-0.002806
3684	3685			0	0	1	Smile	122.62894524990278	99.49514142931733	40.52540737062979	35.768984929998624	199.038000	82.672800	0.916184	0.160743	5	0.113400	0.113925	0.023510	11	-0.006535	-0.022584	0.001907	10	-0.001681	-0.000901
3688	3692			0	0	1	Smile	122.62894524990278	99.49514142931733	38.153853521194584	33.938446736614516	199.060000	82.667400	0.925353	0.105056	4	0.083650	0.063557	0.025301	11	-0.008590	-0.023799	0.001771	7	-0.001094	0.001393
3692	3696			0	0	1	Smile	122.62894524990278	99.49514142931733	35.64073916237015	29.551637111846883	199.062000	82.645100	0.926075	0.113614	3	0.113600	0.001763	0.017522	11	-0.005752	-0.016551	0.003382	7	-0.000936	0.003250
3696	3700			0	0	1	Smile	122.62894524990278	99.49514142931733	40.4846903761518	32.568104057925396	199.063000	82.661400	0.920754	0.066511	3	0.066500	0.001213	0.023284	9	-0.023282	0.000283	0.003488	7	-0.001577	0.003111
3700	3704			0	0	1	Smile	122.62894524990278	99.49514142931733	34.59422418261376	30.972678212336938	199.075000	82.650800	0.934758	0.004172	4	0.003733	0.001862	0.016354	9	-0.016346	0.000492	0.002997	3	0.002996	0.000088
3704	3708			0	0	1	Smile	122.62894524990278	99.49514142931733	42.60052401693518	35.5299024596099	199.074000	82.636500	0.935754	0.004980	4	0.003533	0.003510	0.000934	7	-0.000386	0.000851	0.002906	3	0.002906	-0.000002
3708	3712			0	0	1	Smile	122.62894524990278	121.68093442067276	44.55844582417602	38.58589715103438	199.069000	82.665500	0.925170	0.005513	5	0.002900	0.004688	0.000678	8	-0.000544	0.000405	0.000141	12	0.000005	-0.000141
3712	3716			0	0	1	Smile	122.62894524990278	121.68093442067276	38.543150929814004	34.0037630513684	199.081000	82.670000	0.929928	0.004483	6	0.000917	0.004388	0.000544	9	-0.000543	0.000036	0.000202	12	-0.000007	-0.000202
3716	3720			0	0	1	Smile	122.62894524990278	121.68093442067276	30.654904235617785	24.375367694136084	199.072000	82.694800	0.921609	0.005655	6	-0.000033	0.005655	0.000625	11	-0.000430	-0.000454	0.000204	11	-0.000087	-0.000184
3720	3724			0	0	1	Smile	122.62894524990278	121.68093442067276	35.19550618698882	26.700203541155133	199.098000	82.674800	0.925958	0.003705	6	-0.000117	0.003703	0.001607	11	-0.000862	-0.001357	0.000187	12	0.000031	-0.000184
