start	end	F3:HeadMovement	F3:janej	F3:yes	F3:no	F3:word01	F3:Face	F3:pitch	M5:pitch	F3:intensity	M5:intensity	F3:x-pos	F3:y-pos	F3:weight	F3:velocity-r	F3:velocity-clock	F3:velocity-x	F3:velocity-y	F3:acceleration-r	F3:acceleration-clock	F3:acceleration-x	F3:acceleration-y	F3:jerk-r	F3:jerk-clock	F3:jerk-x	F3:jerk-y
7460	7464			0	0	0		118.80782633858846	118.80782633858846	21.935096824205008	21.935096824205008	390.558000	107.753000	0.908138	0.354892	11	-0.248333	-0.253533	0.024005	3	0.024000	0.000505	0.015320	6	-0.001984	0.015191
7464	7468			0	0	0		118.80782633858846	118.80782633858846	29.060777310218437	29.060777310218437	390.553000	106.782000	0.878573	0.240802	10	-0.180433	-0.159467	0.036399	5	0.019823	0.030528	0.012849	7	-0.003763	0.012286
7468	7476			0	0	0		118.80782633858846	118.80782633858846	30.069621067160273	30.069621067160273	390.549000	105.787000	0.863216	0.188541	10	-0.145133	-0.120350	0.056278	6	0.001960	0.056244	0.006396	7	-0.003691	0.005224
7472	7480			0	0	0		118.80782633858846	118.80782633858846	39.97262389649523	39.97262389649523	390.549000	105.801000	0.868263	0.160984	9	-0.160983	-0.000283	0.064769	6	-0.005776	0.064510	0.001090	1	0.000609	-0.000904
7476	7480			0	0	0		118.80782633858846	118.80782633858846	39.97262389649523	39.97262389649523	389.613000	106.759000	0.877995	0.201174	8	-0.161933	0.119367	0.056065	6	0.005092	0.055833	0.007738	1	0.003784	-0.006749
7480	7484			0	0	0		118.80782633858846	118.80782633858846	42.238895258766945	42.238895258766945	389.583000	107.732000	0.909166	0.278526	7	-0.147067	0.236533	0.034585	5	0.014772	0.031272	0.008021	1	0.002807	-0.007514
7484	7488			0	0	0		118.80782633858846	118.80782633858846	41.91853855490918	41.91853855490918	389.601000	106.810000	0.912235	0.296516	7	-0.117017	0.272450	0.022950	4	0.021852	0.007013	0.007275	12	0.000892	-0.007220
7488	7492			0	0	0		118.80782633858846	118.80782633858846	42.48426144315403	42.48426144315403	389.587000	107.773000	0.936143	0.278231	6	-0.069217	0.269483	0.026736	2	0.023045	-0.013554	0.002968	11	-0.001281	-0.002677
7492	7496			0	0	0		118.80782633858846	118.80782633858846	37.92209248497467	37.92209248497467	389.569000	107.806000	0.945111	0.219133	6	-0.006617	0.219033	0.021330	2	0.016769	-0.013182	0.003280	8	-0.002904	0.001525
7496	7500			0	0	0		118.80782633858846	118.80782633858846	26.28810688025231	26.28810688025231	389.566000	107.817000	0.949776	0.198351	6	-0.005183	0.198283	0.002355	1	0.000700	-0.002248	0.003176	8	-0.002954	0.001166
