start	end	F1:HeadMovement	F1:janej	F1:yes	F1:no	F1:word01	F1:Face	F1:pitch	M6:pitch	F1:intensity	M6:intensity	F1:x-pos	F1:y-pos	F1:weight	F1:velocity-r	F1:velocity-clock	F1:velocity-x	F1:velocity-y	F1:acceleration-r	F1:acceleration-clock	F1:acceleration-x	F1:acceleration-y	F1:jerk-r	F1:jerk-clock	F1:jerk-x	F1:jerk-y
13760	13764			0	0	0		177.0346657549548	198.60040360522004	44.75386663775028	44.85104938964283	391.784000	87.574100	0.848338	0.838845	9	-0.838183	-0.033322	0.016839	9	-0.016830	-0.000545	0.013259	3	0.012843	-0.003295
13764	13768			0	0	0		177.0346657549548	198.60040360522004	42.16231191566146	44.765280663299194	390.794000	87.541800	0.838754	0.837030	9	-0.836933	0.012707	0.033163	2	0.031529	-0.010281	0.014881	3	0.014848	-0.000981
13768	13772			0	0	0		177.0346657549548	198.60040360522004	42.75039756005937	32.61041982698074	389.851000	88.504300	0.851590	0.744005	9	-0.741050	-0.066242	0.075387	3	0.073340	-0.017445	0.006847	3	0.006721	-0.001303
13772	13776			0	0	0		177.0346657549548	176.6863344641048	51.08301475402831	53.88804263936005	389.846000	87.540700	0.839012	0.555883	9	-0.551983	-0.065725	0.079898	3	0.079421	-0.008716	0.003701	7	-0.001375	0.003436
13776	13780			0	0	0		187.15872025443483	188.22464946759095	50.93837387233728	53.15175585817809	388.877000	87.551500	0.853481	0.410777	9	-0.405450	-0.065940	0.061817	3	0.061811	0.000864	0.008315	8	-0.007347	0.003894
13780	13784			0	0	0		197.51864812943438	187.35586978378095	46.500254086897954	47.2287965402314	388.882000	87.544800	0.855193	0.330719	9	-0.324850	-0.062028	0.034296	4	0.032945	0.009529	0.009527	8	-0.007137	0.006310
13784	13788			0	0	0		197.51864812943438	186.96957619191627	46.500254086897954	47.2287965402314	388.861000	86.594000	0.848678	0.271939	9	-0.264617	-0.062682	0.041080	5	0.022430	0.034416	0.005698	8	-0.005478	0.001571
13788	13792			0	0	0		197.51864812943438	186.96957619191627	37.904006447812165	30.78712338026373	388.829000	87.548500	0.867505	0.247518	8	-0.234100	0.080388	0.033487	6	0.001355	0.033460	0.003380	9	-0.003370	0.000258
13792	13796			0	0	0		197.51864812943438	186.96957619191627	28.156317926142137	28.149824650002166	387.912000	87.534100	0.877074	0.245237	8	-0.231717	0.080303	0.022107	6	-0.000248	0.022105	0.007214	12	-0.000488	-0.007198
13796	13800			0	0	0		197.51864812943438	186.96957619191627	20.215964305025416	17.925551156643426	387.888000	87.574500	0.893019	0.298512	8	-0.261517	0.143940	0.006225	9	-0.006059	0.001427	0.002859	12	0.000618	-0.002792
