start	end	F3:HeadMovement	F3:janej	F3:yes	F3:no	F3:word01	F3:Face	F3:pitch	F6:pitch	F3:intensity	F6:intensity	F3:x-pos	F3:y-pos	F3:weight	F3:velocity-r	F3:velocity-clock	F3:velocity-x	F3:velocity-y	F3:acceleration-r	F3:acceleration-clock	F3:acceleration-x	F3:acceleration-y	F3:jerk-r	F3:jerk-clock	F3:jerk-x	F3:jerk-y
7664	7668			0	0	1	Smile	197.77842279413616	77.50259635064499	21.86863650031071	11.775345092071356	207.864000	98.377500	0.927433	0.208621	1	0.138567	-0.155955	0.019000	10	-0.015427	-0.011091	0.004443	7	-0.002490	0.003679
7668	7672			0	0	1	Smile	197.77842279413616	77.50259635064499	32.007920169799014	19.602666838154914	207.868000	98.376500	0.922426	0.176739	1	0.107500	-0.140287	0.025698	8	-0.021300	0.014378	0.005628	6	-0.000562	0.005600
7672	7676			0	0	1	Smile	197.77842279413616	77.50259635064499	36.994899992260756	24.250696960683417	207.854000	98.373300	0.924985	0.128109	1	0.062733	-0.111698	0.029745	8	-0.021409	0.020650	0.001839	4	0.001598	0.000910
7676	7680			0	0	1	Smile	197.77842279413616	77.50259635064499	44.69347696320118	33.00018805377041	207.854000	98.343800	0.936455	0.067234	12	0.005683	-0.066993	0.026615	7	-0.014305	0.022444	0.006167	3	0.006061	-0.001136
7680	7684			0	0	1	Smile	197.77842279413616	77.50259635064499	43.16602056560676	34.17257454122608	207.846000	98.341100	0.947002	0.009613	2	0.007983	-0.005355	0.024304	4	0.017798	0.016550	0.006483	2	0.005896	-0.002697
7684	7688			0	0	1	Smile	197.77842279413616	77.50259635064499	34.185805538415444	32.986581828438176	207.859000	98.359700	0.934847	0.073290	3	0.073200	-0.003625	0.024468	3	0.024423	0.001482	0.004332	3	0.004325	0.000250
7688	7692			0	0	1	Smile	197.77842279413616	77.50259635064499	24.825835801776662	26.38809611516657	207.881000	98.336900	0.938075	0.122568	3	0.122567	0.000482	0.043415	4	0.039428	0.018174	0.010502	5	0.005116	0.009171
7692	7696			0	0	1	Smile	197.77842279413616	77.50259635064499	16.531792616270742	11.625561838012956	207.916000	98.329300	0.940049	0.228419	4	0.218383	0.066963	0.080473	5	0.055789	0.057996	0.013092	5	0.007662	0.010616
7696	7700			0	0	1	Smile	197.77842279413616	77.50259635064499	14.297535712306217	9.492494146842692	207.933000	98.346800	0.918818	0.423710	4	0.347017	0.243125	0.121420	5	0.084520	0.087173	0.012636	5	0.005809	0.011221
7700	7701			0	0	1	Smile	197.77842279413616	77.50259635064499	12.756491791891966	11.1339535865671	208.867000	98.350300	0.907645	0.705793	4	0.553450	0.437992	0.152514	5	0.095414	0.118982	0.003544	7	-0.001630	0.003146
7704	7708			0	0	0	Smile	197.77842279413616	77.50259635064499	14.145436203190261	10.921303030284497	208.875000	98.380400	0.882130	1.020262	4	0.743417	0.698760	0.130548	5	0.073401	0.107958	0.013511	10	-0.012675	-0.004679
7708	7712			0	0	0	Smile	197.77842279413616	77.50259635064499	12.646035847941672	10.017973723632688	209.841000	99.321000	0.859802	1.201923	5	0.838433	0.861190	0.084174	6	0.014874	0.082850	0.022279	11	-0.015019	-0.016456
7712	7740			0	0	0	Smile	197.77842279413616	77.50259635064499	11.029071124449478	8.908102378042374	210.830000	101.240000	0.823118	1.255259	5	0.776350	0.986385	0.029317	8	-0.024196	0.016554	0.026335	11	-0.014369	-0.022070
7716	7744			0	0	0	Smile	197.77842279413616	77.50259635064499	24.564253664563772	25.18164591123485	212.751000	102.248000	0.824642	1.169240	5	0.697300	0.938560	0.077932	10	-0.059608	-0.050202	0.027189	11	-0.013343	-0.023690
7720	7744			0	0	0	Smile	197.77842279413616	77.50259635064499	24.564253664563772	25.18164591123485	213.714000	104.190000	0.861806	0.992051	5	0.598683	0.791040	0.152435	11	-0.093920	-0.120064	0.026100	11	-0.013470	-0.022355
7724	7744			0	0	0	Smile	197.77842279413616	77.50259635064499	24.564253664563772	25.18164591123485	213.726000	104.201000	0.859560	0.602542	5	0.356833	0.485517	0.239332	11	-0.149667	-0.186761	0.015725	11	-0.009577	-0.012472
7728	7744			0	0	0	Smile	197.77842279413616	77.50259635064499	24.564253664563772	25.18164591123485	212.787000	105.118000	0.862739	0.047559	6	-0.000917	0.047550	0.259531	11	-0.162883	-0.202052	0.003244	3	0.003136	0.000829
7732	7744			0	0	0	Smile	197.77842279413616	77.50259635064499	24.564253664563772	25.18164591123485	213.729000	104.198000	0.856971	0.482590	10	-0.354683	-0.327250	0.220802	11	-0.132148	-0.176890	0.014136	5	0.009690	0.010292
7736	7744			0	0	0	Smile	197.77842279413616	77.50259635064499	24.564253664563772	25.18164591123485	213.717000	104.161000	0.849907	0.852886	11	-0.532767	-0.666013	0.165733	11	-0.086965	-0.141084	0.024790	4	0.017702	0.017355
7740	7744			0	0	0	Smile	197.77842279413616	77.50259635064499	24.564253664563772	25.18164591123485	212.771000	103.206000	0.834658	1.075308	11	-0.645983	-0.859647	0.074207	11	-0.027647	-0.068864	0.026033	5	0.017198	0.019543
7744	7748			0	0	0	Smile	197.77842279413616	77.50259635064499	24.49122820581124	27.617055613454728	210.799000	101.250000	0.832551	1.137224	11	-0.616283	-0.955758	0.030848	1	0.015443	-0.026704	0.022649	5	0.015221	0.016771
7748	7752			0	0	0	Smile	197.77842279413616	77.50259635064499	36.73193423664252	41.25191202435122	209.862000	100.281000	0.834535	1.115309	11	-0.599467	-0.940507	0.058084	4	0.049376	0.030589	0.019945	5	0.012478	0.015560
7752	7756			0	0	0	Smile	197.77842279413616	77.50259635064499	41.021226319224404	43.30031388655044	209.854000	99.321800	0.859351	0.988697	11	-0.455583	-0.877477	0.112656	4	0.094654	0.061090	0.016092	4	0.013551	0.008678
7756	7760			0	0	0	Smile	197.77842279413616	77.50259635064499	37.05217285362437	39.47273115829991	208.899000	98.339700	0.909759	0.745481	11	-0.245183	-0.704008	0.160325	4	0.132068	0.090897	0.002253	8	-0.001795	0.001362
7760	7764			0	0	0	Smile	197.77842279413616	77.50259635064499	32.63776448294552	35.355616506265754	209.824000	98.326200	0.897138	0.502478	12	0.079117	-0.496210	0.122678	4	0.099030	0.072407	0.017595	10	-0.015102	-0.009029
7764	7768			0	0	0	Smile	197.77842279413616	77.50259635064499	31.412437063621827	37.29826114711076	209.829000	97.381700	0.904956	0.459040	1	0.192567	-0.416697	0.040273	4	0.028738	0.028215	0.017582	10	-0.014353	-0.010153
7768	7772			0	0	0	Smile	197.77842279413616	77.50259635064499	32.326666309171515	35.675335069696914	209.818000	97.314300	0.905678	0.430399	1	0.161783	-0.398835	0.011902	5	0.004512	0.011014	0.005685	10	-0.005339	-0.001952
7772	7776			0	0	0	Smile	197.77842279413616	77.50259635064499	25.21224704636902	26.976910408661734	209.853000	97.296200	0.872647	0.427706	1	0.195767	-0.380273	0.021029	5	0.007515	0.019641	0.005048	8	-0.004765	0.001667
7776	7779			0	0	0	Smile	197.77842279413616	77.50259635064499	23.095970977534993	26.390407100695867	211.778000	97.288700	0.855230	0.370528	1	0.198100	-0.313125	0.034734	7	-0.020413	0.028103	0.006806	6	-0.000764	0.006763
7780	7784			0	0	1	Smile	197.77842279413616	77.50259635064499	28.560340044109005	29.501075727232433	210.832000	96.330100	0.836318	0.267648	1	0.163167	-0.212160	0.058262	6	-0.000845	0.058256	0.007036	6	0.000064	0.007036
7784	7788			0	0	1	Smile	197.77842279413616	77.50259635064499	33.46208375096344	22.544101801915694	209.848000	95.386600	0.828542	0.201974	2	0.178600	-0.094317	0.066016	7	-0.019162	0.063174	0.003318	8	-0.002527	0.002151
7788	7792			0	0	1	Smile	197.77842279413616	77.50259635064499	39.64855162422625	28.56021268207627	210.826000	95.372500	0.827719	0.097011	3	0.094417	0.022285	0.072896	7	-0.026995	0.067713	0.004180	8	-0.003881	0.001552
7792	7796			0	0	1	Smile	197.77842279413616	77.50259635064499	55.742260354366366	45.695904737649016	211.788000	96.341600	0.842115	0.137353	6	-0.002950	0.137322	0.082792	7	-0.038852	0.073109	0.006870	10	-0.005248	-0.004433
7796	7800			0	0	1	Smile	257.97208919932797	77.50259635064499	44.84525218574621	34.368249842282744	210.795000	96.366200	0.854120	0.312406	6	-0.020867	0.311708	0.068970	7	-0.043439	0.053571	0.010561	11	-0.003496	-0.009966
7800	7804			0	0	1	Smile	257.97208919932797	77.50259635064499	42.77524068438047	34.54769384260465	211.787000	97.310000	0.879030	0.418904	7	-0.150200	0.391050	0.071313	9	-0.070498	0.010755	0.012245	11	-0.003301	-0.011792
7804	7808			0	0	1	Smile	257.97208919932797	77.50259635064499	42.69694897319853	34.88866165953938	210.796000	97.357700	0.890603	0.484739	7	-0.325717	0.359000	0.070517	10	-0.066418	-0.023690	0.008259	1	0.004054	-0.007195
7808	7812			0	0	1	Smile	257.97208919932797	77.50259635064499	37.13695285896782	34.12469053815133	210.799000	97.367700	0.887923	0.492885	8	-0.406517	0.278712	0.050279	10	-0.037416	-0.033585	0.010631	3	0.010540	0.001386
7812	7816			0	0	1	Smile	257.97208919932797	77.50259635064499	29.045353607368884	28.18998720306171	209.821000	98.285200	0.896296	0.493309	8	-0.435650	0.231437	0.014303	11	-0.006938	-0.012508	0.009358	4	0.008597	0.003696
7816	7818			0	0	1	Smile	257.97208919932797	77.50259635064499	18.085782603087814	17.070054764957657	208.843000	98.306900	0.915257	0.528956	8	-0.483400	0.214753	0.010547	1	0.005577	-0.008952	0.006181	4	0.005942	0.001701
7820	7824			0	0	0	Smile	257.97208919932797	77.50259635064499	16.012172885838996	14.900762130743647	208.883000	98.309600	0.908629	0.463749	8	-0.403333	0.228878	0.038863	3	0.038862	-0.000224	0.003573	4	0.003284	0.001408
7824	7828			0	0	0	Smile	257.97208919932797	77.50259635064499	15.914823745664346	16.738722876145076	208.840000	98.334400	0.911604	0.403216	8	-0.341900	0.213747	0.024005	2	0.022859	-0.007330	0.003320	10	-0.002970	-0.001484
7828	7832			0	0	0	Smile	257.97208919932797	77.50259635064499	24.128741039845984	25.40512253395495	207.916000	98.358700	0.904223	0.338342	8	-0.293567	0.168208	0.024505	2	0.021551	-0.011664	0.004546	11	-0.002004	-0.004081
7832	7836			0	0	0	Smile	257.97208919932797	77.50259635064499	33.43053658786569	35.63017948431342	207.910000	99.291100	0.895919	0.310550	8	-0.263533	0.164292	0.025110	1	0.008948	-0.023462	0.006758	10	-0.005497	-0.003932
7836	7840			0	0	0	Smile	257.97208919932797	77.50259635064499	38.613843462172156	40.52001987917925	207.866000	99.304700	0.912352	0.279525	8	-0.266817	0.083327	0.040882	12	-0.010562	-0.039495	0.004713	11	-0.002379	-0.004069
7840	7844			0	0	0	Smile	257.97208919932797	77.50259635064499	31.207161424002678	32.00866430275924	207.845000	99.304900	0.917253	0.296831	9	-0.296817	0.002935	0.045404	12	-0.005523	-0.045067	0.004891	9	-0.004891	0.000007
7844	7848			0	0	0	Smile	257.97208919932797	77.50259635064499	31.79870569518727	35.97696781367228	206.907000	99.323100	0.912377	0.293944	10	-0.283450	-0.077842	0.051946	11	-0.033756	-0.039483	0.005984	8	-0.004406	0.004050
7848	7852			0	0	0	Smile	257.97208919932797	77.50259635064499	25.549323795056523	27.400643776311092	206.882000	99.289400	0.921593	0.454801	10	-0.426400	-0.158200	0.051747	10	-0.046104	-0.023500	0.005073	7	-0.003278	0.003871
7852	7856			0	0	0	Smile	257.97208919932797	77.50259635064499	20.530064576116	15.051304106649317	206.870000	98.357600	0.924438	0.528895	10	-0.503117	-0.163105	0.045884	10	-0.044232	-0.012201	0.003903	6	0.000067	0.003902
7856	7860			0	0	0	Smile	257.97208919932797	77.50259635064499	11.76983088019435	10.525322654996724	205.926000	98.375500	0.896897	0.620422	10	-0.583483	-0.210882	0.044002	9	-0.043193	-0.008398	0.001452	5	0.000387	0.001400
7860	7864			0	0	0	Smile	257.97208919932797	77.50259635064499	25.59606414146331	19.86620278563982	205.891000	98.355200	0.892422	0.689411	10	-0.650733	-0.227670	0.042148	9	-0.042135	-0.001021	0.004297	4	0.003991	0.001593
7864	7868			0	0	0	Smile	257.97208919932797	77.50259635064499	22.2220948698877	18.999249202890987	203.964000	98.336300	0.884463	0.791978	10	-0.762583	-0.213765	0.028619	9	-0.027876	0.006476	0.008121	3	0.007985	0.001480
7868	7872			0	0	0	Smile	257.97208919932797	77.50259635064499	17.186416228445015	12.664116151326244	203.977000	98.297000	0.884505	0.796616	9	-0.778017	-0.171137	0.015250	4	0.011367	0.010166	0.012564	4	0.011896	0.004042
7872	7876			0	0	0	Smile	257.97208919932797	77.50259635064499	14.586964582271557	10.805762581217198	202.994000	97.388400	0.889536	0.718358	9	-0.697683	-0.171102	0.051860	4	0.046772	0.022403	0.010403	4	0.009405	0.004446
7876	7880			0	0	0	Smile	257.97208919932797	77.50259635064499	14.777828491049053	10.333521354904336	201.999000	97.373900	0.916024	0.604466	9	-0.597817	-0.089410	0.076234	4	0.064062	0.041324	0.013280	5	0.007901	0.010674
7880	7884		ja	1	0	1	Smile	257.97208919932797	77.50259635064499	39.19423687002262	33.813192280514485	201.041000	97.328800	0.924532	0.420288	9	-0.420283	-0.002003	0.124561	4	0.094937	0.080637	0.010365	5	0.004392	0.009388
7884	7888	Nod	ja	1	0	1	Smile	257.97208919932797	77.50259635064499	40.836418234438256	32.79906014422855	201.052000	97.303200	0.909272	0.333710	8	-0.259283	0.210082	0.136007	5	0.085956	0.105402	0.005120	11	-0.002605	-0.004408
7888	7892	Nod	ja	1	0	1	Smile	257.97208919932797	77.50259635064499	36.785209589578386	33.26889343827602	201.046000	97.332500	0.921281	0.456995	6	-0.064667	0.452397	0.104349	4	0.085772	0.059430	0.017248	11	-0.004534	-0.016641
7892	7896	Nod	ja	1	0	1	Smile	257.97208919932797	77.50259635064499	33.17551744629195	36.06158100622547	201.063000	98.278700	0.905221	0.450004	6	0.080467	0.442752	0.057996	3	0.056432	-0.013378	0.023924	11	-0.007416	-0.022746
7896	7900	Nod	ja	1	0	1	Smile	257.97208919932797	77.50259635064499	28.882069545924946	29.456023508764297	201.056000	98.365600	0.887826	0.371149	5	0.161233	0.334298	0.083361	1	0.039082	-0.073632	0.018441	11	-0.006992	-0.017064
7900	7903	Nod	ja	1	0	1	Smile	257.97208919932797	77.50259635064499	28.67949318854299	19.026108744715103	202.008000	100.262000	0.851124	0.264873	4	0.224833	0.140028	0.109550	12	0.018255	-0.108019	0.009957	11	-0.005504	-0.008297
7904	7912	Nod		0	0	1	Smile	257.97208919932797	77.50259635064499	40.792254826617445	29.873943967950616	202.007000	101.246000	0.841234	0.265452	3	0.258317	-0.061133	0.114388	12	0.007237	-0.114159	0.004126	5	0.002686	0.003132
7908	7916	Nod		0	0	1	Smile	257.97208919932797	77.50259635064499	33.56744992992054	22.16280301259223	202.001000	99.339600	0.852853	0.367769	1	0.258467	-0.261628	0.095483	1	0.027992	-0.091287	0.010733	6	0.002602	0.010413
7912	7916	Nod		0	0	1	Smile	257.97208919932797	77.50259635064499	33.56744992992054	22.16280301259223	202.031000	98.363400	0.875363	0.523886	1	0.358467	-0.382045	0.064956	1	0.030508	-0.057346	0.019205	6	0.003376	0.018906
7916	7920	Nod		0	0	1	Smile	257.97208919932797	77.50259635064499	36.11462790387214	25.540737347046502	202.979000	97.379900	0.885443	0.668911	1	0.393017	-0.541277	0.040317	3	0.040288	0.001534	0.018504	6	0.003414	0.018187
7920	7924	Nod		0	0	1	Smile	257.97208919932797	77.50259635064499	35.12501353636949	24.28728924981135	202.998000	97.321300	0.881768	0.676662	2	0.506783	-0.448377	0.089118	5	0.056024	0.069305	0.012677	6	-0.001108	0.012629
7924	7928	Nod		0	0	1	Smile	257.97208919932797	77.50259635064499	28.274210356548465	17.542896332902966	202.992000	97.299200	0.875039	0.656700	2	0.617400	-0.223767	0.093809	5	0.033995	0.087432	0.008384	9	-0.008275	-0.001348
7928	7932	Nod		0	0	1	Smile	257.97208919932797	77.50259635064499	17.125622566181914	10.310478079108158	204.955000	97.309300	0.874472	0.653201	3	0.646667	-0.092158	0.052553	6	0.002476	0.052494	0.013823	10	-0.010138	-0.009396
7932	7936			0	0	0	Smile	257.97208919932797	77.50259635064499	14.93231548100146	10.334000017229528	204.955000	96.376100	0.867988	0.598643	3	0.598600	-0.007190	0.040852	7	-0.027537	0.030175	0.011122	10	-0.009233	-0.006200
7936	7940			0	0	0	Smile	257.97208919932797	77.50259635064499	13.61891773088834	10.16039076321086	205.928000	97.290200	0.898539	0.548950	3	0.548767	0.014192	0.047367	9	-0.045815	0.012026	0.006501	9	-0.006370	-0.001299
