start	end	F1:HeadMovement	F1:janej	F1:yes	F1:no	F1:word01	F1:Face	F1:pitch	F4:pitch	F1:intensity	F4:intensity	F1:x-pos	F1:y-pos	F1:weight	F1:velocity-r	F1:velocity-clock	F1:velocity-x	F1:velocity-y	F1:acceleration-r	F1:acceleration-clock	F1:acceleration-x	F1:acceleration-y	F1:jerk-r	F1:jerk-clock	F1:jerk-x	F1:jerk-y
8344	8348			0	0	0		213.37142875613324	204.82310340591366	39.18749777249783	31.408676129857586	396.598000	78.722700	0.905590	0.281321	6	0.000750	0.281320	0.029726	3	0.029710	0.000991	0.006338	12	-0.000253	-0.006332
8348	8352			0	0	0		213.37142875613324	204.82310340591366	38.83369737499363	32.66882668165826	396.599000	78.724300	0.903200	0.253340	6	0.048100	0.248732	0.033866	2	0.031515	-0.012398	0.003635	11	-0.002238	-0.002865
8352	8356			0	0	0		213.37142875613324	204.82310340591366	54.73159138949782	55.17779055377253	396.618000	79.698900	0.897412	0.206985	5	0.094550	0.184128	0.025429	1	0.016266	-0.019546	0.003761	8	-0.003517	0.001334
8356	8360			0	0	0		213.37142875613324	204.82310340591366	57.83968945319419	58.00838568369081	396.610000	78.740600	0.897304	0.208567	5	0.125367	0.166683	0.012158	3	0.012029	0.001767	0.002950	7	-0.001908	0.002250
8360	8364			0	0	0		213.37142875613324	215.37311958873553	60.75813402606364	60.926510748462206	397.534000	80.702400	0.891563	0.243773	5	0.141767	0.198312	0.004407	3	0.004397	-0.000293	0.002749	9	-0.002704	-0.000493
8364	8368			0	0	0		251.98942598133823	247.5484240938586	58.059621028932334	54.83278137098682	396.621000	79.707200	0.895372	0.243816	5	0.141517	0.198543	0.006290	11	-0.004346	-0.004547	0.002659	9	-0.002648	-0.000236
8368	8372			0	0	0		251.98942598133823	247.5484240938586	55.460254776067394	48.58788477069473	397.536000	79.714600	0.888114	0.208089	5	0.125583	0.165922	0.013492	10	-0.011562	-0.006954	0.001843	9	-0.001841	0.000082
8372	8376			0	0	0		251.98942598133823	247.5484240938586	46.86462841186571	37.303095657115534	397.540000	79.717600	0.892944	0.205224	5	0.096517	0.181112	0.015832	9	-0.015712	-0.001944	0.002955	6	-0.000472	0.002917
8376	8380			0	0	0		251.98942598133823	247.5484240938586	38.258482830814266	29.84804571192637	397.557000	80.702900	0.882938	0.113560	5	0.050617	0.101655	0.014680	9	-0.014573	0.001769	0.001142	5	0.000772	0.000841
8380	8384			0	0	0		251.98942598133823	247.5484240938586	42.34275486461172	37.03794280853991	397.552000	80.707900	0.885186	0.227480	5	0.067283	0.217302	0.026024	6	-0.006105	0.025298	0.002077	5	0.001334	0.001592
8384	8388			0	0	0		251.98942598133823	247.5484240938586	40.371153492539804	34.58612432097189	397.554000	80.709400	0.889644	0.232711	6	0.006517	0.232620	0.015768	9	-0.015765	-0.000323	0.004976	12	0.000016	-0.004976
8388	8392			0	0	0		251.98942598133823	247.5484240938586	40.17414898670058	33.93727561044336	397.572000	80.704600	0.891066	0.215684	6	0.006800	0.215577	0.008461	12	0.000355	-0.008453	0.003224	2	0.002891	-0.001427
8392	8396			0	0	0		251.98942598133823	247.5484240938586	41.57743842325968	37.083051036018865	397.568000	80.734200	0.889253	0.165658	6	0.007650	0.165482	0.011734	12	0.000103	-0.011733	0.002312	6	-0.000012	0.002312
8396	8400			0	0	0		251.98942598133823	247.5484240938586	48.9004113025586	48.56692128226008	397.591000	81.706900	0.887737	0.165642	6	0.007833	0.165457	0.011263	6	0.000226	0.011260	0.003798	4	0.003005	0.002322
8400	8404			0	0	0		251.98942598133823	247.5484240938586	46.630103393559416	44.3403445498057	397.585000	81.697100	0.885753	0.214649	6	0.008133	0.214495	0.018267	4	0.016481	0.007876	0.005394	1	0.002970	-0.004502
8404	8408			0	0	0		251.98942598133823	247.5484240938586	58.448446043758565	56.680708427071494	397.598000	81.699900	0.881927	0.241059	5	0.070717	0.230453	0.028629	2	0.022990	-0.017061	0.002246	1	0.001480	-0.001689
8408	8412			0	0	0		251.98942598133823	247.5484240938586	48.29021077731878	44.59682587123601	397.617000	81.696700	0.872177	0.189661	5	0.118117	0.148390	0.027034	2	0.022599	-0.014836	0.000852	8	-0.000749	0.000406
8412	8416			0	0	0		251.98942598133823	247.5484240938586	53.68466564943737	51.1704211656192	397.605000	81.710900	0.879686	0.190896	4	0.151250	0.116468	0.018438	2	0.015866	-0.009392	0.003802	4	0.003503	0.001478
8416	8420			0	0	0		82.10822596426931	247.5484240938586	59.105626035643574	56.07998099998021	397.625000	82.692600	0.877124	0.215985	4	0.168250	0.135430	0.040171	3	0.040138	0.001638	0.004753	5	0.002416	0.004094
