start	end	M1:HeadMovement	M1:janej	M1:yes	M1:no	M1:word01	M1:Face	M1:pitch	F4:pitch	M1:intensity	F4:intensity	M1:x-pos	M1:y-pos	M1:weight	M1:velocity-r	M1:velocity-clock	M1:velocity-x	M1:velocity-y	M1:acceleration-r	M1:acceleration-clock	M1:acceleration-x	M1:acceleration-y	M1:jerk-r	M1:jerk-clock	M1:jerk-x	M1:jerk-y
8076	8080			0	0	1		158.36677975257805	176.75590487756236	34.15097149069081	36.65070091608864	194.998000	67.648000	0.886566	0.064054	6	-0.001183	0.064043	0.006501	12	0.000007	-0.006501	0.001690	12	0.000015	-0.001690
8080	8084			0	0	1		158.36677975257805	176.75590487756236	50.41745930903194	50.63439672630001	195.009000	67.642500	0.893192	0.001730	8	-0.001233	0.001213	0.016776	12	0.000310	-0.016773	0.000125	1	0.000089	-0.000089
8084	8086			0	0	1		158.36677975257805	176.75590487756236	53.115251457043506	54.834209065081765	195.002000	67.642800	0.888634	0.000394	3	0.000383	0.000090	0.000904	2	0.000737	-0.000523	0.003063	6	0.000021	0.003063
8088	8092			0	0	1		158.36677975257805	176.75590487756236	48.70313265279815	51.62260344791322	195.015000	67.639500	0.888049	0.002489	2	0.002367	-0.000772	0.000456	3	0.000451	-0.000064	0.000133	7	-0.000046	0.000125
8092	8095			0	0	1		158.36677975257805	176.75590487756236	48.50002600858794	51.905163354508886	194.994000	67.638200	0.886462	0.002308	3	0.002250	-0.000513	0.000349	5	0.000221	0.000270	0.000137	6	-0.000015	0.000136
8096	8100			0	0	1		158.36677975257805	176.75590487756236	41.05446841973975	46.60718621322228	195.008000	67.635500	0.888503	0.002705	3	0.002617	0.000687	0.000868	5	0.000406	0.000767	0.003057	3	0.003056	0.000093
8100	8104			0	0	1		158.36677975257805	176.75590487756236	38.53737746104829	39.36097772033418	195.014000	67.636100	0.886259	0.004605	4	0.004000	0.002282	0.017036	3	0.017017	0.000795	0.003047	3	0.003046	-0.000076
8104	8106			0	0	1		158.36677975257805	176.75590487756236	44.69406268408535	44.89110575404678	195.023000	67.635500	0.893973	0.067579	3	0.067467	0.003895	0.023573	3	0.023570	0.000354	0.001369	3	0.001367	-0.000088
8108	8112			0	0	1		158.36677975257805	176.75590487756236	51.53061123499655	52.71847959657522	195.017000	67.649900	0.897354	0.116573	3	0.116517	0.003613	0.022587	3	0.022586	0.000125	0.000778	9	-0.000767	-0.000127
8112	8116			0	0	1		158.36677975257805	176.75590487756236	51.670013622515526	52.96842170725989	195.028000	67.650000	0.898553	0.148301	3	0.148250	0.003900	0.016008	3	0.016006	-0.000254	0.002764	9	-0.002759	-0.000165
